Time(s),Voltage(V)
-2.000000000000000042e-08,0.000000000000000000e+00
-1.000000000000000021e-08,-8.000000000000000167e-02
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-08,8.000000000000000167e-02
2.000000000000000042e-08,0.000000000000000000e+00
3.000000000000000394e-08,4.000000000000000083e-02
4.000000000000000084e-08,4.000000000000000083e-02
4.999999999999999774e-08,4.000000000000000083e-02
6.000000000000000787e-08,4.000000000000000083e-02
7.000000000000000477e-08,4.000000000000000083e-02
8.000000000000000167e-08,4.000000000000000083e-02
8.999999999999999857e-08,8.000000000000000167e-02
9.999999999999999547e-08,4.000000000000000083e-02
1.100000000000000056e-07,8.000000000000000167e-02
1.200000000000000157e-07,0.000000000000000000e+00
1.299999999999999994e-07,4.000000000000000083e-02
1.400000000000000095e-07,4.000000000000000083e-02
1.499999999999999932e-07,8.000000000000000167e-02
1.600000000000000033e-07,-4.000000000000000083e-02
1.700000000000000135e-07,0.000000000000000000e+00
1.799999999999999971e-07,4.000000000000000083e-02
1.900000000000000073e-07,0.000000000000000000e+00
1.999999999999999909e-07,0.000000000000000000e+00
2.100000000000000011e-07,-4.000000000000000083e-02
2.200000000000000112e-07,0.000000000000000000e+00
2.299999999999999949e-07,0.000000000000000000e+00
2.400000000000000315e-07,0.000000000000000000e+00
2.499999999999999887e-07,-4.000000000000000083e-02
2.599999999999999988e-07,0.000000000000000000e+00
2.700000000000000090e-07,4.000000000000000083e-02
2.800000000000000191e-07,4.000000000000000083e-02
2.900000000000000292e-07,0.000000000000000000e+00
2.999999999999999864e-07,8.000000000000000167e-02
3.099999999999999966e-07,4.000000000000000083e-02
3.200000000000000067e-07,0.000000000000000000e+00
3.300000000000000168e-07,0.000000000000000000e+00
3.400000000000000270e-07,-4.000000000000000083e-02
3.499999999999999842e-07,0.000000000000000000e+00
3.599999999999999943e-07,0.000000000000000000e+00
3.700000000000000044e-07,-4.000000000000000083e-02
3.800000000000000146e-07,4.000000000000000083e-02
3.900000000000000247e-07,-8.000000000000000167e-02
3.999999999999999819e-07,0.000000000000000000e+00
4.099999999999999920e-07,4.000000000000000083e-02
4.200000000000000022e-07,8.000000000000000167e-02
4.300000000000000123e-07,0.000000000000000000e+00
4.400000000000000224e-07,-4.000000000000000083e-02
4.500000000000000326e-07,4.000000000000000083e-02
4.599999999999999898e-07,0.000000000000000000e+00
4.699999999999999999e-07,8.000000000000000167e-02
4.800000000000000630e-07,8.000000000000000167e-02
4.899999999999999672e-07,-4.000000000000000083e-02
4.999999999999999774e-07,-4.000000000000000083e-02
5.099999999999999875e-07,0.000000000000000000e+00
5.199999999999999976e-07,8.000000000000000167e-02
5.300000000000000078e-07,0.000000000000000000e+00
5.400000000000000179e-07,0.000000000000000000e+00
5.500000000000000281e-07,-4.000000000000000083e-02
