S0,S1,S2,S3
9.717193044788497991e-01,7.349515220309007502e-01,4.762723824203583534e-01,1.297372400916030344e-01
9.763491380380043827e-01,7.370952963429384663e-01,5.021474742263699609e-01,1.422347731900627243e-01
9.785543428879286409e-01,7.359869629219677467e-01,5.176374467447076855e-01,1.576297311287571945e-01
9.817659276007839608e-01,7.354176993564993658e-01,5.385558851976001149e-01,1.682502449568697434e-01
9.880800779127252298e-01,7.360472662622642437e-01,5.671494992537983171e-01,1.814903240661806250e-01
9.923217818134029145e-01,7.347302307220657802e-01,5.868310436595757240e-01,1.959330707177810438e-01
9.956402761293141612e-01,7.332580273768379842e-01,6.018983150419050521e-01,2.101825789108233977e-01
1.000330678036575494e+00,7.328844559729329466e-01,6.273259023850654703e-01,2.222202314171549953e-01
1.003693945266598941e+00,7.289219846326857599e-01,6.466335698226644002e-01,2.369627827629299521e-01
1.005912657611523597e+00,7.248815059892119717e-01,6.626458512264338241e-01,2.485775409679295000e-01
1.011466074311299534e+00,7.249020181274019592e-01,6.953411568955011335e-01,2.618133548031541524e-01
1.015180347218822998e+00,7.217490263715089505e-01,7.232845043460940371e-01,2.706596816557058083e-01
1.014952389678643874e+00,7.119284340269357303e-01,7.308169878839984035e-01,2.760138640701234602e-01
1.016344982696247845e+00,7.070648040839164761e-01,7.407981878564470213e-01,2.813830936599429067e-01
1.019141011324877111e+00,7.002884243084908089e-01,7.610288910885806279e-01,2.876966074946258889e-01
1.021824156974484366e+00,6.934226953408341165e-01,7.773446270163164584e-01,2.931372670083411403e-01
1.023599635499622851e+00,6.850285669997872029e-01,7.881039238383031886e-01,3.017822930984486174e-01
1.029729816310485546e+00,6.825889263516895511e-01,8.233970354477707643e-01,3.124350145876817475e-01
1.034538216484242046e+00,6.753631643319339961e-01,8.527753552756059952e-01,3.194607620418149496e-01
1.037393421840418162e+00,6.687003946063880822e-01,8.735248850931094378e-01,3.266314428772436051e-01
1.039644206187276154e+00,6.594390893959506394e-01,8.928895902660964889e-01,3.298468549975582254e-01
1.043381135646601177e+00,6.513797704817868572e-01,9.185932709784839778e-01,3.301080816457612754e-01
1.043337173103477511e+00,6.393851740809083362e-01,9.246146743923481237e-01,3.276980803419831112e-01
1.045544077488040458e+00,6.320663068682487173e-01,9.408921292483001242e-01,3.282774467254553352e-01
1.045763212644828410e+00,6.203960940149251257e-01,9.525440173901644769e-01,3.269275348734775877e-01
1.047359177090124494e+00,6.131355308036106067e-01,9.682384062065008123e-01,3.290602474378103159e-01
1.046682334901944289e+00,6.030686650221027678e-01,9.731753990494190765e-01,3.296554372341001793e-01
1.051819691688522518e+00,6.005095294646126680e-01,1.000905228973782091e+00,3.337756534918398521e-01
1.053441227231663779e+00,5.881449850918560873e-01,1.018890543817570382e+00,3.342440964766162370e-01
1.055740511873541232e+00,5.813410245988025471e-01,1.034531469918909652e+00,3.306049537126927729e-01
1.055748549059977837e+00,5.677142120284537352e-01,1.043036653071033992e+00,3.239993038361908551e-01
1.059441773834847833e+00,5.602473029451960906e-01,1.065575672926972306e+00,3.234909753262836252e-01
1.059363581329637372e+00,5.466091151121451608e-01,1.073452518552630242e+00,3.151708239133178546e-01
1.058961581292476417e+00,5.370712058185566073e-01,1.082825919374633905e+00,3.101988768805677976e-01
1.058230620033964398e+00,5.250891619431098389e-01,1.085633847471352498e+00,3.034037412713759263e-01
1.055510743515818195e+00,5.127888056554794627e-01,1.080491732381068770e+00,2.952222052277970188e-01
1.053259110523974806e+00,5.050462758629585824e-01,1.082560327806033840e+00,2.830598974343124241e-01
1.050911705675373176e+00,4.948185306086906876e-01,1.082666922030763867e+00,2.754840967322871870e-01
1.048888206427986747e+00,4.860015666573262449e-01,1.084298367117785267e+00,2.641697566690686116e-01
1.049674411894230275e+00,4.803993122057179099e-01,1.100064477748698089e+00,2.565346513787003513e-01
1.050745021635355547e+00,4.732429127869312024e-01,1.109287593542851447e+00,2.493421474424530326e-01
1.049691044201691570e+00,4.605560788341293010e-01,1.107366131881058591e+00,2.401010890312846868e-01
1.049116605175405503e+00,4.516914631886738141e-01,1.106363377697705985e+00,2.295259771249536784e-01
1.049193467437985694e+00,4.462231937398367099e-01,1.108599663808395031e+00,2.200556079874238513e-01
1.047963677700908036e+00,4.385759552066766376e-01,1.108775177106793963e+00,2.103370201422687935e-01
1.046871020809022612e+00,4.327016706500025345e-01,1.112616979584539756e+00,1.960727446853014755e-01
1.044582849970653315e+00,4.244555684881055058e-01,1.110078918031341066e+00,1.859923353261525580e-01
1.042266490608627416e+00,4.168310962961788158e-01,1.109590535850375259e+00,1.723509486885257680e-01
1.037604293500039132e+00,4.039703531010033766e-01,1.096528232384409218e+00,1.581318667772432518e-01
1.035330441222357400e+00,3.955178039448263849e-01,1.085378827373723043e+00,1.464756458662136163e-01
1.031775271795359883e+00,3.851624331591440575e-01,1.078196741209155096e+00,1.354013157821900848e-01
1.030705960825314405e+00,3.804474775834991163e-01,1.074974832030546557e+00,1.221293366598813906e-01
1.027551330204694580e+00,3.713798983930590714e-01,1.064765982776818332e+00,1.092613518125121752e-01
1.025711908159758989e+00,3.676056737781355777e-01,1.057877793196215110e+00,9.450241628819211481e-02
1.020846347028509182e+00,3.579384131646604073e-01,1.042924364242534763e+00,7.605320443026285238e-02
1.018157596364655415e+00,3.549276342691385366e-01,1.028362227566774534e+00,5.950628295906017218e-02
1.014892120321613245e+00,3.476138366992599371e-01,1.017094324742453537e+00,4.063701034956203328e-02
1.014181099033638844e+00,3.493614107356659559e-01,1.016880364073153409e+00,2.932700801540148380e-02
1.013171732266910707e+00,3.477938084160889787e-01,1.010485839314370970e+00,1.523820575314201869e-02
1.010176230691519406e+00,3.448401217536384289e-01,9.961681507813352487e-01,1.488552601659360111e-03
1.006663841974208440e+00,3.410990898126313731e-01,9.797305006212597700e-01,-1.108128266092614674e-02
1.001724081850838832e+00,3.389858889218205773e-01,9.594541544178887271e-01,-2.473988186359619978e-02
9.968864556306665792e-01,3.337453975960640862e-01,9.297961844792298480e-01,-4.115477394058084104e-02
9.921054236864297327e-01,3.297806223487894095e-01,9.032032483339376139e-01,-5.765585283980625281e-02
9.866928643261836385e-01,3.257636817239629168e-01,8.807135488902848586e-01,-7.256229182361983998e-02
9.833785919063589009e-01,3.264817642638584982e-01,8.650786796854441629e-01,-8.760406131819779840e-02
9.805303399299759581e-01,3.267977898516538637e-01,8.496694976205346750e-01,-1.015662165436472392e-01
9.766655820041996172e-01,3.298232384669868567e-01,8.320311145322379920e-01,-1.170549630544744230e-01
9.734083064524734485e-01,3.343808789818199512e-01,8.191234835230162270e-01,-1.279851925756235187e-01
9.721208243629042567e-01,3.390847775332404557e-01,8.058902734772858123e-01,-1.408133623031552484e-01
9.688228655881002682e-01,3.407320882616968194e-01,7.856088561991002583e-01,-1.534256652052501946e-01
9.657672953765190638e-01,3.473842148575652655e-01,7.651055256123421300e-01,-1.640336667934231274e-01
9.605051471104346650e-01,3.469674390986008938e-01,7.393992431694300649e-01,-1.767516198980223219e-01
9.551505556119073148e-01,3.453896121139078401e-01,7.079138331121835881e-01,-1.877443868512455594e-01
9.507190175800019905e-01,3.490110604654569904e-01,6.830431370047047590e-01,-1.988271735199080292e-01
9.450934565839155255e-01,3.505042098703152198e-01,6.526543538174484071e-01,-2.112718535899165140e-01
9.395465387445069982e-01,3.493196222242845872e-01,6.187460061894208829e-01,-2.205392090743375777e-01
9.375792415644923494e-01,3.561066241883604766e-01,6.032823082085441158e-01,-2.277324526568496876e-01
9.347075278905283557e-01,3.641305676947727554e-01,5.870047909004597608e-01,-2.345851400721571389e-01
9.310259784260450644e-01,3.700658283366623502e-01,5.633670408656394901e-01,-2.413998630718855176e-01
9.294126214629566674e-01,3.811805279656862444e-01,5.496430808016468106e-01,-2.450581090191433498e-01
9.265968980392351728e-01,3.886528225224746835e-01,5.334316400023444427e-01,-2.513845443617059305e-01
9.221829652284931900e-01,3.951048530268099768e-01,5.061195881533283591e-01,-2.559199583990008353e-01
9.218980264729916829e-01,4.059609415474563221e-01,4.976669456423217786e-01,-2.606041970137960573e-01
9.209605594959975328e-01,4.163195972166575110e-01,4.845988061395239965e-01,-2.634860481411110955e-01
9.198483734633863262e-01,4.227663264189535086e-01,4.649540566126211805e-01,-2.664735725632820795e-01
9.182853642651396253e-01,4.331462467012129336e-01,4.508288044192605981e-01,-2.680129593320800807e-01
9.142890890450647845e-01,4.380471425483612458e-01,4.253968674434094877e-01,-2.694591737522855635e-01
9.091093360950810442e-01,4.409256964228417397e-01,3.889351598657434517e-01,-2.705911540648977542e-01
9.059029769844746394e-01,4.476168987664889132e-01,3.654286472646739448e-01,-2.719666538367533914e-01
9.024889088207967980e-01,4.576657702101444292e-01,3.482491436404175911e-01,-2.719439561627920443e-01
9.007369243839145057e-01,4.677957827200355800e-01,3.273607657577288776e-01,-2.732493477136334614e-01
9.035419452662269979e-01,4.836919684872210690e-01,3.296932790283821912e-01,-2.682000610441729327e-01
9.028540976537730023e-01,4.953228613014519222e-01,3.237195543500204220e-01,-2.661494112884396634e-01
9.039108316857987768e-01,5.080962285743758633e-01,3.186538351933048130e-01,-2.606546314559897159e-01
9.038738552579650420e-01,5.164708236717895362e-01,3.092322956647237664e-01,-2.538404046874957465e-01
9.037435801678683767e-01,5.262125645618687120e-01,3.041648893446538549e-01,-2.445382688708950814e-01
9.031562121164232737e-01,5.385950176540924561e-01,2.947583832471822318e-01,-2.397655261220267842e-01
9.053699326555614268e-01,5.503722350541478958e-01,2.963312049668679338e-01,-2.311522950584963543e-01
9.055118123683463249e-01,5.600220361812948688e-01,2.873570888575261439e-01,-2.255852517218944753e-01
9.066340756269828383e-01,5.732050198817496556e-01,2.835477598384923414e-01,-2.165305121079797446e-01
9.071335388348326090e-01,5.829087235932934874e-01,2.775721183850561324e-01,-2.085173546261460675e-01
9.072368053581126857e-01,5.892973028057407747e-01,2.709480172396936948e-01,-1.997153938335814449e-01
9.069373315604075669e-01,5.998300270417395996e-01,2.582441639731601901e-01,-1.893390874433431292e-01
9.075970145927516608e-01,6.081799564385885759e-01,2.554497232076352597e-01,-1.779519773427523099e-01
9.085642638878481669e-01,6.156307490643807556e-01,2.531801866720585492e-01,-1.655064908877847962e-01
9.103481641777790845e-01,6.257955778197705765e-01,2.509863776439715255e-01,-1.537052851691678712e-01
9.117083228684496055e-01,6.341216092214180255e-01,2.509638406195078830e-01,-1.413004556614406160e-01
9.142849772147890741e-01,6.421222282710811191e-01,2.592063141865185716e-01,-1.308087665928217014e-01
9.175380454303972977e-01,6.524867906772044979e-01,2.663257438757131723e-01,-1.152037851879301328e-01
9.205980850551915839e-01,6.613178769463249340e-01,2.773317392208047849e-01,-1.047011949685489468e-01
9.247334138726713837e-01,6.693082560915998291e-01,2.922044179228368010e-01,-9.115916215313293880e-02
9.273734900685710603e-01,6.754992791928564611e-01,2.978561395473297013e-01,-7.578094015038965015e-02
9.307559725993725941e-01,6.818992447336833518e-01,3.040064865379071279e-01,-6.067657128247184312e-02
9.329821753296028142e-01,6.900012027989201879e-01,3.147358735173433342e-01,-4.643348088516287275e-02
9.357102535437008539e-01,6.959359549245908161e-01,3.171162897060152419e-01,-2.931137242785796654e-02
9.380294488760849703e-01,7.009958156956124231e-01,3.252954386057723690e-01,-1.067819660436268928e-02
9.417183364284360536e-01,7.105907632630121817e-01,3.400082892210367080e-01,3.886338575062783449e-03
9.455433003337130327e-01,7.196195855784757178e-01,3.617621260103896508e-01,2.179168252746995632e-02
9.478378784810974622e-01,7.212198824323615698e-01,3.712186356144651089e-01,3.408406250097845147e-02
9.515789050237591917e-01,7.247059960322771444e-01,3.910935610336802593e-01,4.693375291476266364e-02
9.536902517107117561e-01,7.282742284261506382e-01,4.027191653459177290e-01,5.952802569445996006e-02
9.568080945351266076e-01,7.289231004292041627e-01,4.163433527344462259e-01,7.547837065568321901e-02
9.613209578002074318e-01,7.314904559808256268e-01,4.346270266147272410e-01,9.353478405722390199e-02
9.662053738085712995e-01,7.338774525034138518e-01,4.522981162767329422e-01,1.111662705452189370e-01
9.687996018395903519e-01,7.358953259267659863e-01,4.632233125518032124e-01,1.253615383697485597e-01
9.747933484213728850e-01,7.377846351421863957e-01,4.878465741703284508e-01,1.401169160871382768e-01
9.814192585008094660e-01,7.430856237582477153e-01,5.190806996345280755e-01,1.561159869101308162e-01
9.847767552874268082e-01,7.407379486979436267e-01,5.361332823820245119e-01,1.676257524447053171e-01
9.865527660797096532e-01,7.391583911799499695e-01,5.527130155881330165e-01,1.803730378610271246e-01
9.907874200805066867e-01,7.376502953541692609e-01,5.763182676364371204e-01,1.934008788486880348e-01
9.923090766207469660e-01,7.341161711728311223e-01,5.908055754680190397e-01,2.050795288001075467e-01
9.955728349516322906e-01,7.288311904838847832e-01,6.093107031803830509e-01,2.149796946634054684e-01
9.983864606167485167e-01,7.260343384996490457e-01,6.260265405235432290e-01,2.228271381098975712e-01
1.004672501792623684e+00,7.254699529214791998e-01,6.577070480176753220e-01,2.346596710990051238e-01
1.011625752405070244e+00,7.250652993779835853e-01,6.936439927993287569e-01,2.483786658739721986e-01
1.017636261055062219e+00,7.236463828128689713e-01,7.287301529205520989e-01,2.592749910551608306e-01
1.020167223998726058e+00,7.200850577227269067e-01,7.456842278601955032e-01,2.699623860521158103e-01
1.022025340405925631e+00,7.138980457583109507e-01,7.639299769074943125e-01,2.789779095736677483e-01
1.023587888356065401e+00,7.071726853444558758e-01,7.783862891874651080e-01,2.874712858411580529e-01
1.022629458266923308e+00,6.991554849085939161e-01,7.817654759519601093e-01,2.943886032475003800e-01
1.023982342142310431e+00,6.906282949415954997e-01,7.892532089667839701e-01,2.993005556319748295e-01
1.027431805785533836e+00,6.821614527626949087e-01,8.107763489550657843e-01,3.032269784248172728e-01
1.030993910849337114e+00,6.753427132857624526e-01,8.328399804830340925e-01,3.097859667104884140e-01
